NomeListino;CifraIn;CifraOut;Margine;Settore;CostoTrasp;CostoTraspBo;TipoListForn;Note;ID;Chiusura
BASE;0.00;30.00;6.00;Vettura;4.70;3.00;24H;null;1;0x000000036E3660D9
BASE;0.00;30.00;6.00;Vettura;4.70;3.00;48H;null;2;0x000000036E3660DA
BASE;0.00;30.00;6.00;Vettura;0.00;0.00;72H;null;3;0x000000036E3660DB
BASE;0.00;30.00;6.00;MotoScooter;7.50;4.00;24H;null;4;0x0000000368063C94
BASE;0.00;30.00;6.00;MotoScooter;7.50;4.00;48H;null;5;0x0000000368063C97
BASE;0.00;30.00;5.00;MotoScooter;0.00;0.00;72H;null;6;0x000000020DF4F08D
BASE;0.00;223.00;50.00;Autocarro;13.00;7.00;24H;null;7;0x0000000368063C93
BASE;0.00;223.00;25.00;Autocarro;13.00;7.00;48H;null;8;0x00000003653037A3
BASE;0.00;223.00;15.00;Autocarro;0.00;0.00;72H;null;9;0x00000001C1AD1E96
BASE;30.01;40.00;8.00;Vettura;4.70;3.00;24H;null;10;0x000000036E366E89
BASE;30.01;40.00;8.00;Vettura;4.70;3.00;48H;null;11;0x000000036E366E8A
BASE;30.01;40.00;8.00;Vettura;0.00;0.00;72H;null;12;0x000000036E366E8B
BASE;30.01;40.00;7.00;MotoScooter;7.50;4.00;24H;null;13;0x0000000368063CAB
BASE;30.01;40.00;7.00;MotoScooter;7.50;4.00;48H;null;14;0x0000000368063CAA
BASE;30.01;40.00;7.00;MotoScooter;0.00;0.00;72H;null;15;0x0000000368063CA9
BASE;40.01;50.00;9.00;Vettura;4.70;3.00;24H;null;16;0x000000036E366E8D
BASE;40.01;50.00;9.00;Vettura;4.70;3.00;48H;null;17;0x000000036E366E8E
BASE;40.01;50.00;9.00;Vettura;0.00;0.00;72H;null;18;0x000000036E366E8F
BASE;40.01;50.00;8.00;MotoScooter;7.50;4.00;24H;null;19;0x0000000368063CB8
BASE;40.01;50.00;8.00;MotoScooter;7.50;4.00;48H;null;20;0x0000000368063CBB
BASE;40.01;50.00;8.00;MotoScooter;0.00;0.00;72H;null;21;0x0000000368063CBE
BASE;50.01;60.00;10.00;Vettura;4.70;3.00;24H;null;22;0x000000036E366E91
BASE;50.01;60.00;10.00;Vettura;4.70;3.00;48H;null;23;0x000000036E366E92
BASE;50.01;60.00;10.00;Vettura;0.00;0.00;72H;null;24;0x000000036E366E93
BASE;50.01;60.00;9.00;MotoScooter;7.50;4.00;24H;null;25;0x000000020DF4F094
BASE;50.01;60.00;9.00;MotoScooter;7.50;4.00;48H;null;26;0x000000020DF4F095
BASE;50.01;60.00;9.00;MotoScooter;0.00;0.00;72H;null;27;0x000000020DF4F096
BASE;60.01;75.00;12.00;Vettura;4.70;3.00;24H;null;28;0x000000036E366E95
BASE;60.01;75.00;12.00;Vettura;4.70;3.00;48H;null;29;0x000000036E366E96
BASE;60.01;75.00;12.00;Vettura;0.00;0.00;72H;null;30;0x000000036E366E97
BASE;60.01;75.00;10.00;MotoScooter;7.50;4.00;24H;null;31;0x000000020DF4F098
BASE;60.01;75.00;10.00;MotoScooter;7.50;4.00;48H;null;32;0x000000020DF4F099
BASE;60.01;75.00;10.00;MotoScooter;0.00;0.00;72H;null;33;0x000000020DF4F09A
BASE;75.01;90.00;14.00;Vettura;4.70;3.00;24H;null;34;0x000000036E366E99
BASE;75.01;90.00;14.00;Vettura;4.70;3.00;48H;null;35;0x000000036E366E9A
BASE;75.01;90.00;14.00;Vettura;0.00;0.00;72H;null;36;0x000000036E366E9B
BASE;75.01;90.00;11.00;MotoScooter;7.50;4.00;24H;null;37;0x000000020DF4F115
BASE;75.01;90.00;11.00;MotoScooter;7.50;4.00;48H;null;38;0x000000020DF4F116
BASE;75.01;90.00;11.00;MotoScooter;0.00;0.00;72H;null;39;0x000000020DF4F117
BASE;90.01;110.00;16.00;Vettura;4.70;3.00;24H;null;40;0x000000036E366E9E
BASE;90.01;110.00;16.00;Vettura;4.70;3.00;48H;null;41;0x000000036E366E9F
BASE;90.01;110.00;16.00;Vettura;0.00;0.00;72H;null;42;0x000000036E366EA0
BASE;90.01;110.00;12.00;MotoScooter;7.50;4.00;24H;null;43;0x000000036E366E9D
BASE;90.01;110.00;12.00;MotoScooter;7.50;4.00;48H;null;44;0x000000020DF4F0A1
BASE;90.01;110.00;12.00;MotoScooter;0.00;0.00;72H;null;45;0x000000020DF4F0A2
BASE;110.01;130.00;18.00;Vettura;4.70;3.00;24H;null;46;0x000000036E366EA2
BASE;110.01;130.00;18.00;Vettura;4.70;3.00;48H;null;47;0x000000036E366EA3
BASE;110.01;130.00;18.00;Vettura;0.00;0.00;72H;null;48;0x000000036E366EA4
BASE;110.01;130.00;13.00;MotoScooter;7.50;4.00;24H;null;49;0x000000020DF4F0A4
BASE;110.01;130.00;13.00;MotoScooter;7.50;4.00;48H;null;50;0x000000020DF4F0A5
BASE;110.01;130.00;13.00;MotoScooter;0.00;0.00;72H;null;51;0x000000020DF4F0A6
BASE;130.01;160.00;21.00;Vettura;4.70;3.00;24H;null;52;0x000000036E366EEC
BASE;130.01;160.00;21.00;Vettura;4.70;3.00;48H;null;53;0x000000036E366EED
BASE;130.01;160.00;21.00;Vettura;0.00;0.00;72H;null;54;0x000000036E366EEE
BASE;130.01;160.00;13.00;MotoScooter;7.50;4.00;24H;null;55;0x000000020DF4F13C
BASE;130.01;160.00;13.00;MotoScooter;7.50;4.00;48H;null;56;0x000000020DF4F13B
BASE;130.01;160.00;13.00;MotoScooter;0.00;0.00;72H;null;57;0x000000020DF4F13A
BASE;160.01;190.00;24.00;Vettura;4.70;3.00;24H;null;58;0x000000036E366EF0
BASE;160.01;190.00;24.00;Vettura;4.70;3.00;48H;null;59;0x000000036E366EF1
BASE;160.01;190.00;24.00;Vettura;0.00;0.00;72H;null;60;0x000000036E366EF2
BASE;160.01;190.00;13.00;MotoScooter;7.50;4.00;24H;null;61;0x000000020DF4F145
BASE;160.01;190.00;13.00;MotoScooter;7.50;4.00;48H;null;62;0x000000020DF4F146
BASE;160.01;190.00;13.00;MotoScooter;0.00;0.00;72H;null;63;0x000000020DF4F147
BASE;190.01;230.00;26.00;Vettura;4.70;3.00;24H;null;64;0x000000036E366EF4
BASE;190.01;230.00;26.00;Vettura;4.70;3.00;48H;null;65;0x000000036E366EF5
BASE;190.01;230.00;26.00;Vettura;0.00;0.00;72H;null;66;0x000000036E366EF6
BASE;190.01;230.00;13.00;MotoScooter;7.50;4.00;24H;null;67;0x000000020DF4F14F
BASE;190.01;230.00;13.00;MotoScooter;7.50;4.00;48H;null;68;0x000000020DF4F150
BASE;190.01;230.00;13.00;MotoScooter;0.00;0.00;72H;null;69;0x000000020DF4F151
BASE;224.00;260.00;60.00;Autocarro;13.00;7.00;24H;null;70;0x00000003653037A7
BASE;224.00;260.00;45.00;Autocarro;13.00;7.00;48H;null;71;0x00000003653037A6
BASE;224.00;260.00;25.00;Autocarro;0.00;0.00;72H;null;72;0x00000001C1AD1ED5
BASE;230.01;270.00;30.00;Vettura;4.70;3.00;24H;null;73;0x000000036E366EF8
BASE;230.01;270.00;30.00;Vettura;4.70;3.00;48H;null;74;0x000000036E366EF9
BASE;230.01;270.00;30.00;Vettura;0.00;0.00;72H;null;75;0x000000036E366EFA
BASE;230.01;270.00;13.00;MotoScooter;7.50;4.00;24H;null;76;0x000000020DF4F154
BASE;230.01;270.00;13.00;MotoScooter;7.50;4.00;48H;null;77;0x000000020DF4F155
BASE;230.01;270.00;13.00;MotoScooter;0.00;0.00;72H;null;78;0x000000020DF4F156
BASE;270.01;300.00;32.00;Vettura;4.70;3.00;24H;null;79;0x000000036E366EFC
BASE;270.01;300.00;32.00;Vettura;4.70;3.00;48H;null;80;0x000000036E366EFD
BASE;270.01;300.00;32.00;Vettura;0.00;0.00;72H;null;81;0x000000036E366EFE
BASE;270.01;300.00;13.00;MotoScooter;7.50;4.00;24H;null;82;0x000000020DF4F15A
BASE;270.01;300.00;13.00;MotoScooter;7.50;4.00;48H;null;83;0x000000020DF4F15B
BASE;270.01;300.00;13.00;MotoScooter;0.00;0.00;72H;null;84;0x000000020DF4F15C
BASE;300.01;9999.00;34.00;Vettura;4.70;3.00;24H;null;85;0x000000036E366F01
BASE;300.01;9999.00;34.00;Vettura;4.70;3.00;48H;null;86;0x000000036E366F02
BASE;300.01;9999.00;34.00;Vettura;0.00;0.00;72H;null;87;0x000000036E366F03
BASE;300.01;9999.00;13.00;MotoScooter;7.50;4.00;24H;null;88;0x000000020DF4F15F
BASE;300.01;9999.00;13.00;MotoScooter;7.50;4.00;48H;null;89;0x000000020DF4F160
BASE;300.01;9999.00;13.00;MotoScooter;0.00;0.00;72H;null;90;0x000000020DF4F161
STD;0.00;30.00;7.00;Vettura;4.70;3.00;24H;null;91;0x00000001FEB35419
STD;0.00;30.00;7.00;Vettura;4.70;3.00;48H;null;92;0x00000001FEB3541A
STD;0.00;30.00;7.00;Vettura;0.00;0.00;72H;null;93;0x00000001DF762A1F
STD;0.00;30.00;8.00;MotoScooter;7.50;4.00;24H;null;94;0x0000000368063C95
STD;0.00;30.00;8.00;MotoScooter;7.50;4.00;48H;null;95;0x0000000368063C98
STD;0.00;30.00;7.00;MotoScooter;0.00;0.00;72H;null;96;0x000000020DF4F0D0
STD;0.00;223.00;40.00;Autocarro;13.00;7.00;24H;null;97;0x0000000368063C92
STD;0.00;223.00;30.00;Autocarro;13.00;7.00;48H;null;98;0x00000001C1AD1EEF
STD;0.00;223.00;20.00;Autocarro;0.00;0.00;72H;null;99;0x00000001C1AD1EF0
STD;30.01;40.00;9.00;Vettura;4.70;3.00;24H;null;100;0x0000000368063CAD
STD;30.01;40.00;9.00;Vettura;4.70;3.00;48H;null;101;0x0000000368063CB0
STD;30.01;40.00;9.00;Vettura;0.00;0.00;72H;null;102;0x0000000368063CB3
STD;30.01;40.00;8.00;MotoScooter;7.50;4.00;24H;null;103;0x000000020DF4F0D8
STD;30.01;40.00;8.00;MotoScooter;7.50;4.00;48H;null;104;0x000000020DF4F0D9
STD;30.01;40.00;8.00;MotoScooter;0.00;0.00;72H;null;105;0x000000020DF4F0DA
STD;40.01;50.00;10.00;Vettura;4.70;3.00;24H;null;106;0x0000000368063CC5
STD;40.01;50.00;10.00;Vettura;4.70;3.00;48H;null;107;0x0000000368063CC8
STD;40.01;50.00;10.00;Vettura;0.00;0.00;72H;null;108;0x0000000368063CCB
STD;40.01;50.00;10.00;MotoScooter;7.50;4.00;24H;null;109;0x0000000368063CB9
STD;40.01;50.00;10.00;MotoScooter;7.50;4.00;48H;null;110;0x0000000368063CBC
STD;40.01;50.00;10.00;MotoScooter;0.00;0.00;72H;null;111;0x0000000368063CBF
STD;50.01;60.00;12.00;Vettura;4.70;3.00;24H;null;112;0x00000001FEB3541F
STD;50.01;60.00;12.00;Vettura;4.70;3.00;48H;null;113;0x00000001FEB35420
STD;50.01;60.00;12.00;Vettura;0.00;0.00;72H;null;114;0x000000020DF4F0EF
STD;50.01;60.00;12.00;MotoScooter;7.50;4.00;24H;null;115;0x000000020DF4F0F3
STD;50.01;60.00;12.00;MotoScooter;7.50;4.00;48H;null;116;0x000000020DF4F0F2
STD;50.01;60.00;12.00;MotoScooter;0.00;0.00;72H;null;117;0x000000020DF4F0F1
STD;60.01;75.00;14.50;Vettura;4.70;3.00;24H;null;118;0x00000001FEB35421
STD;60.01;75.00;14.50;Vettura;4.70;3.00;48H;null;119;0x00000001FEB35422
STD;60.01;75.00;14.50;Vettura;0.00;0.00;72H;null;120;0x000000020DF4F112
STD;60.01;75.00;12.00;MotoScooter;7.50;4.00;24H;null;121;0x000000020DF4F125
STD;60.01;75.00;12.00;MotoScooter;7.50;4.00;48H;null;122;0x000000020DF4F124
STD;60.01;75.00;12.00;MotoScooter;0.00;0.00;72H;null;123;0x000000020DF4F123
STD;75.01;90.00;16.50;Vettura;4.70;3.00;24H;null;124;0x00000001FEB35423
STD;75.01;90.00;16.50;Vettura;4.70;3.00;48H;null;125;0x00000001FEB35424
STD;75.01;90.00;16.50;Vettura;0.00;0.00;72H;null;126;0x000000020DF4F114
STD;75.01;90.00;13.00;MotoScooter;7.50;4.00;24H;null;127;0x000000020DF4F11E
STD;75.01;90.00;13.00;MotoScooter;7.50;4.00;48H;null;128;0x000000020DF4F11F
STD;75.01;90.00;13.00;MotoScooter;0.00;0.00;72H;null;129;0x000000020DF4F120
STD;90.01;110.00;18.50;Vettura;4.70;3.00;24H;null;130;0x00000001FEB35425
STD;90.01;110.00;18.50;Vettura;4.70;3.00;48H;null;131;0x00000001FEB35426
STD;90.01;110.00;18.50;Vettura;0.00;0.00;72H;null;132;0x000000020DF4F12A
STD;90.01;110.00;14.00;MotoScooter;7.50;4.00;24H;null;133;0x000000020DF4F126
STD;90.01;110.00;14.00;MotoScooter;7.50;4.00;48H;null;134;0x000000020DF4F127
STD;90.01;110.00;14.00;MotoScooter;0.00;0.00;72H;null;135;0x000000020DF4F128
STD;110.01;130.00;21.00;Vettura;4.70;3.00;24H;null;136;0x00000001FEB35427
STD;110.01;130.00;21.00;Vettura;4.70;3.00;48H;null;137;0x00000001FEB35428
STD;110.01;130.00;21.00;Vettura;0.00;0.00;72H;null;138;0x000000020DF4F134
STD;110.01;130.00;15.00;MotoScooter;7.50;4.00;24H;null;139;0x000000020DF4F12C
STD;110.01;130.00;15.00;MotoScooter;7.50;4.00;48H;null;140;0x000000020DF4F12D
STD;110.01;130.00;15.00;MotoScooter;0.00;0.00;72H;null;141;0x000000020DF4F12E
STD;130.01;160.00;25.00;Vettura;4.70;3.00;24H;null;142;0x00000001FEB35429
STD;130.01;160.00;25.00;Vettura;4.70;3.00;48H;null;143;0x00000001FEB3542A
STD;130.01;160.00;25.00;Vettura;0.00;0.00;72H;null;144;0x000000020DF4F14D
STD;130.01;160.00;15.00;MotoScooter;7.50;4.00;24H;null;145;0x000000020DF4F13D
STD;130.01;160.00;15.00;MotoScooter;7.50;4.00;48H;null;146;0x000000020DF4F13E
STD;130.01;160.00;15.00;MotoScooter;0.00;0.00;72H;null;147;0x000000020DF4F13F
STD;160.01;190.00;28.00;Vettura;4.70;3.00;24H;null;148;0x00000001FEB3542B
STD;160.01;190.00;28.00;Vettura;4.70;3.00;48H;null;149;0x00000001FEB3542C
STD;160.01;190.00;28.00;Vettura;0.00;0.00;72H;null;150;0x000000020DF4F14E
STD;160.01;190.00;15.00;MotoScooter;7.50;4.00;24H;null;151;0x000000020DF4F14C
STD;160.01;190.00;15.00;MotoScooter;7.50;4.00;48H;null;152;0x000000020DF4F14B
STD;160.01;190.00;15.00;MotoScooter;0.00;0.00;72H;null;153;0x000000020DF4F14A
STD;190.01;230.00;31.00;Vettura;4.70;3.00;24H;null;154;0x00000001FEB3542D
STD;190.01;230.00;31.00;Vettura;4.70;3.00;48H;null;155;0x00000001FEB3542E
STD;190.01;230.00;31.00;Vettura;0.00;0.00;72H;null;156;0x000000020DF4F153
STD;190.01;230.00;15.00;MotoScooter;7.50;4.00;24H;null;157;0x00000001C1AD1F2B
STD;190.01;230.00;15.00;MotoScooter;7.50;4.00;48H;null;158;0x00000001C1AD1F2C
STD;190.01;230.00;15.00;MotoScooter;0.00;0.00;72H;null;159;0x00000001C1AD1F2D
STD;224.00;260.00;50.00;Autocarro;13.00;7.00;24H;null;160;0x00000001C1AD1F2E
STD;224.00;260.00;50.00;Autocarro;13.00;7.00;48H;null;161;0x00000001C1AD1F2F
STD;224.00;260.00;30.00;Autocarro;0.00;0.00;72H;null;162;0x00000001C1AD1F30
STD;230.01;270.00;33.00;Vettura;4.70;3.00;24H;null;163;0x00000001FEB3542F
STD;230.01;270.00;33.00;Vettura;4.70;3.00;48H;null;164;0x00000001FEB35430
STD;230.01;270.00;33.00;Vettura;0.00;0.00;72H;null;165;0x000000020DF4F159
STD;230.01;270.00;15.00;MotoScooter;7.50;4.00;24H;null;166;0x00000001C1AD1F34
STD;230.01;270.00;15.00;MotoScooter;7.50;4.00;48H;null;167;0x00000001C1AD1F35
STD;230.01;270.00;15.00;MotoScooter;0.00;0.00;72H;null;168;0x00000001C1AD1F36
STD;270.01;300.00;35.00;Vettura;4.70;3.00;24H;null;169;0x00000001FEB35431
STD;270.01;300.00;35.00;Vettura;4.70;3.00;48H;null;170;0x00000001FEB35432
STD;270.01;300.00;35.00;Vettura;0.00;0.00;72H;null;171;0x000000020DF4F15E
STD;270.01;300.00;15.00;MotoScooter;7.50;4.00;24H;null;172;0x00000001C1AD1F3A
STD;270.01;300.00;15.00;MotoScooter;7.50;4.00;48H;null;173;0x00000001C1AD1F3B
STD;270.01;300.00;15.00;MotoScooter;0.00;0.00;72H;null;174;0x00000001C1AD1F3C
STD;300.01;9999.00;40.00;Vettura;4.70;3.00;24H;null;175;0x000000020DF4F164
STD;300.01;9999.00;40.00;Vettura;4.70;3.00;48H;null;176;0x000000020DF4F165
STD;300.01;9999.00;40.00;Vettura;0.00;0.00;72H;null;177;0x000000020DF4F166
STD;300.01;9999.00;15.00;MotoScooter;7.50;4.00;24H;null;178;0x00000001C1AD1F40
STD;300.01;9999.00;15.00;MotoScooter;7.50;4.00;48H;null;179;0x00000001C1AD1F41
STD;300.01;9999.00;15.00;MotoScooter;0.00;0.00;72H;null;180;0x00000001C1AD1F42
TOP;0.00;30.00;4.00;Vettura;4.70;3.00;24H;null;181;0x0000000368063C9D
TOP;0.00;30.00;4.00;Vettura;4.70;3.00;48H;null;182;0x0000000368063C9F
