ID;NomeListino;CifraIn;CifraOut;Margine;MargPiu;MargMeno;Settore;RicaricoPercentuale;ProvvPiatt;MargMenoEstivo;MargMenoAS;MargMenoInvernale;DataCreazione;DataModifica
1;Piattaforme;0.00;30.00;5.50;0.00;2.00;Vettura;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
2;Piattaforme;30.01;40.00;6.50;0.00;2.50;Vettura;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
3;Piattaforme;40.01;50.00;8.50;0.00;3.00;Vettura;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
4;Piattaforme;50.01;60.00;9.00;0.00;3.00;Vettura;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
5;Piattaforme;60.01;75.00;12.50;0.00;5.00;Vettura;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
6;Piattaforme;75.01;90.00;14.00;0.00;5.00;Vettura;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
7;Piattaforme;90.01;110.00;16.00;0.00;5.00;Vettura;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
8;Piattaforme;110.01;130.00;18.00;0.00;5.00;Vettura;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
9;Piattaforme;130.01;160.00;23.00;0.00;7.00;Vettura;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
10;Piattaforme;160.01;190.00;29.00;0.00;10.00;Vettura;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
11;Piattaforme;190.01;230.00;33.00;0.00;10.00;Vettura;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
12;Piattaforme;230.01;270.00;35.00;0.00;10.00;Vettura;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
13;Piattaforme;270.01;300.00;35.00;0.00;10.00;Vettura;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
14;Piattaforme;300.01;9999.00;35.00;0.00;10.00;Vettura;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
15;Piattaforme;0.00;223.00;25.00;0.00;0.00;Autocarro;null;1.3000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
16;Piattaforme;224.00;260.00;35.00;0.00;0.00;Autocarro;null;1.3000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
17;Piattaforme;0.00;30.00;7.00;0.00;3.00;MotoScooter;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
18;Piattaforme;30.01;40.00;8.00;0.00;3.00;MotoScooter;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
19;Piattaforme;40.01;50.00;8.50;0.00;3.00;MotoScooter;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
20;Piattaforme;50.01;60.00;10.00;0.00;3.00;MotoScooter;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
21;Piattaforme;60.01;75.00;11.00;0.00;3.00;MotoScooter;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
22;Piattaforme;75.01;90.00;13.00;0.00;4.00;MotoScooter;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
23;Piattaforme;90.01;110.00;15.00;0.00;4.00;MotoScooter;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
24;Piattaforme;110.01;130.00;17.00;0.00;4.00;MotoScooter;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
25;Piattaforme;130.01;160.00;21.00;0.00;4.00;MotoScooter;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
26;Piattaforme;160.01;190.00;21.00;0.00;4.00;MotoScooter;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
27;Piattaforme;190.01;230.00;21.00;0.00;4.00;MotoScooter;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
28;Piattaforme;230.01;270.00;21.00;0.00;4.00;MotoScooter;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
29;Piattaforme;270.01;300.00;21.00;0.00;4.00;MotoScooter;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
30;Piattaforme;300.01;9999.00;21.00;0.00;4.00;MotoScooter;null;1.0130;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
31;B2B;0.00;30.00;5.50;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
32;B2B;30.01;40.00;6.50;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
33;B2B;40.01;50.00;8.50;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
34;B2B;50.01;60.00;9.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
35;B2B;60.01;75.00;12.50;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
36;B2B;75.01;90.00;14.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
37;B2B;90.01;110.00;16.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
38;B2B;110.01;130.00;18.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
39;B2B;130.01;160.00;23.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
40;B2B;160.01;190.00;29.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
41;B2B;190.01;230.00;33.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
42;B2B;230.01;270.00;35.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
43;B2B;270.01;300.00;35.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
44;B2B;300.01;9999.00;35.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
45;B2B;0.00;223.00;25.00;0.00;0.00;Autocarro;13.00;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
46;B2B;224.00;260.00;35.00;0.00;0.00;Autocarro;13.00;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
47;B2B;0.00;30.00;7.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
48;B2B;30.01;40.00;8.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
49;B2B;40.01;50.00;8.50;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
50;B2B;50.01;60.00;10.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
51;B2B;60.01;75.00;11.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
52;B2B;75.01;90.00;13.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
53;B2B;90.01;110.00;15.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
54;B2B;110.01;130.00;17.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
55;B2B;130.01;160.00;21.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
56;B2B;160.01;190.00;21.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
57;B2B;190.01;230.00;21.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
58;B2B;230.01;270.00;21.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
59;B2B;270.01;300.00;21.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
60;B2B;300.01;9999.00;21.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
61;Collegati;0.00;30.00;5.50;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
62;Collegati;30.01;40.00;6.50;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
63;Collegati;40.01;50.00;8.50;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
64;Collegati;50.01;60.00;9.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
65;Collegati;60.01;75.00;12.50;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
66;Collegati;75.01;90.00;14.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
67;Collegati;90.01;110.00;16.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
68;Collegati;110.01;130.00;18.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
69;Collegati;130.01;160.00;23.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
70;Collegati;160.01;190.00;29.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
71;Collegati;190.01;230.00;33.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
72;Collegati;230.01;270.00;35.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
73;Collegati;270.01;300.00;35.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
74;Collegati;300.01;9999.00;35.00;0.00;0.00;Vettura;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
75;Collegati;0.00;223.00;25.00;0.00;0.00;Autocarro;13.00;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
76;Collegati;224.00;260.00;35.00;0.00;0.00;Autocarro;13.00;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
77;Collegati;0.00;30.00;7.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
78;Collegati;30.01;40.00;8.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
79;Collegati;40.01;50.00;8.50;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
80;Collegati;50.01;60.00;10.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
81;Collegati;60.01;75.00;11.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
82;Collegati;75.01;90.00;13.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
83;Collegati;90.01;110.00;15.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
84;Collegati;110.01;130.00;17.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
85;Collegati;130.01;160.00;21.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
86;Collegati;160.01;190.00;21.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
87;Collegati;190.01;230.00;21.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
88;Collegati;230.01;270.00;21.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
89;Collegati;270.01;300.00;21.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
90;Collegati;300.01;9999.00;21.00;0.00;0.00;MotoScooter;null;1.0000;null;null;null;23/06/2025 13:19:27;23/06/2025 13:19:27
