classificatore1	classificatore2	classificatore3	classificatore4	ART_ID	ART_CAI	SETTORE_ID	SETTORE	MARCA_ID	MARCA	ART_CODICE	IND_CARICO	IND_VELOCITA	Ext_XL	Disegno	Ext_EAN	ext_Misura	DESCR_DIRECT	ART_STAGIONE	ART_STAGIONEShort	STAART	Decibel	Rumorosita	Rotolamento	Aderenza	IdIc	IdIv	IDARTCLA1	IDARTCLA2	IDARTCLA3	IDARTCLA4	Ext_Fascia
null	null	null	null	597945	null	10052	ESCLUSO DA STATISTICA                   	325	ACCESSORI  NON RIVENDUTI                	@NOTETAGLIANDO      	null	null	null	null	null	null	MANUTENZIONE TAGLIANDO 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	597945	null	10052	ESCLUSO DA STATISTICA                   	325	ACCESSORI  NON RIVENDUTI                	@NOTETAGLIANDO      	null	null	null	null	null	null	MANUTENZIONE TAGLIANDO 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	597945	null	10052	ESCLUSO DA STATISTICA                   	325	ACCESSORI  NON RIVENDUTI                	@NOTETAGLIANDO      	null	null	null	null	null	null	MANUTENZIONE TAGLIANDO 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	602340	null	105	MECCANICA VETTURA - 4X4 - TL            	10026	MECCANICA                               	2603800	null	null	null	null	null	null	FILTRO CARBURANTE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	605535	null	105	MECCANICA VETTURA - 4X4 - TL            	10009	MECCANICA LEGGERA                       	EAF3612.10          	null	null	null	null	null	null	FILTRO ARIA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	605535	null	105	MECCANICA VETTURA - 4X4 - TL            	10009	MECCANICA LEGGERA                       	EAF3612.10          	null	null	null	null	null	null	FILTRO ARIA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	605536	null	105	MECCANICA VETTURA - 4X4 - TL            	10009	MECCANICA LEGGERA                       	CAF2276.01          	null	null	null	null	null	null	FILTRO ABITACOLO 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	605578	null	105	MECCANICA VETTURA - 4X4 - TL            	10026	MECCANICA                               	CAF2276.11          	null	null	null	null	null	null	FILTRO ABITACOLO 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	587208	null	105	MECCANICA VETTURA - 4X4 - TL            	10026	MECCANICA                               	V03N115562B         	null	null	null	null	null	null	FILTRO OLIO V03N115562B 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	587210	null	105	MECCANICA VETTURA - 4X4 - TL            	10026	MECCANICA                               	V5Q0129620B         	null	null	null	null	null	null	V5Q0129620B FILTRO ARIA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	587211	null	105	MECCANICA VETTURA - 4X4 - TL            	10026	MECCANICA                               	V5Q0819669          	null	null	null	null	null	null	FILTRO ABITACOLO 5Q0819669 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
235	60	18	SCORPION WINTER	560625	3108400	7	Fuoristrada, Suv e 4x4                  	2	PIRELLI                                 	2356018-PIR-3108400 	103	V                                       	null	SCORPION WINTER	8,01923E+12	2356018	235/60R18 103V (AR) PIRELLI SCORPION WINTER	INVERNALE	I	G	70	B	D	B	113	7	37	26	61	11172	A 
null	null	null	null	562861	null	105	MECCANICA VETTURA - 4X4 - TL            	10009	MECCANICA LEGGERA                       	@7ADBLUELT          	null	null	null	null	null	null	ADBLUE LITRO 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	562861	null	105	MECCANICA VETTURA - 4X4 - TL            	10009	MECCANICA LEGGERA                       	@7ADBLUELT          	null	null	null	null	null	null	ADBLUE LITRO 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	562861	null	105	MECCANICA VETTURA - 4X4 - TL            	10009	MECCANICA LEGGERA                       	@7ADBLUELT          	null	null	null	null	null	null	ADBLUE LITRO 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	562861	null	105	MECCANICA VETTURA - 4X4 - TL            	10009	MECCANICA LEGGERA                       	@7ADBLUELT          	null	null	null	null	null	null	ADBLUE LITRO 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	567916	null	10040	Abbuoni Promo Vettura                   	10079	Abbuoni Vettura                         	@7ACG               	null	null	null	null	null	null	ADDEBITO COSTI DI GESTIONE	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	567916	null	10040	Abbuoni Promo Vettura                   	10079	Abbuoni Vettura                         	@7ACG               	null	null	null	null	null	null	ADDEBITO COSTI DI GESTIONE	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	567916	null	10040	Abbuoni Promo Vettura                   	10079	Abbuoni Vettura                         	@7ACG               	null	null	null	null	null	null	ADDEBITO COSTI DI GESTIONE	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	574614	null	10119	OLIO MECCANICA                          	10009	MECCANICA LEGGERA                       	@7OLIO0W30TOTAL     	null	null	null	null	null	null	OLIO 00W30 QUARTZ INEO EFFICIENT 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	576071	null	10026	REVISIONI                               	10004	REVISIONE                               	@SPESEVERS          	null	null	null	null	null	null	Spese Postali Versamento 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	576071	null	10026	REVISIONI                               	10004	REVISIONE                               	@SPESEVERS          	null	null	null	null	null	null	Spese Postali Versamento 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518021	null	10037	MANODOPERA OFFICINA                     	324	MANODOPERA                              	@7MANOFF            	null	null	null	null	null	null	MANODOPERA MECCANICA SPECIALIZZATA	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	589454	null	105	MECCANICA VETTURA - 4X4 - TL            	10009	MECCANICA LEGGERA                       	@7INUGELVIOLA       	null	null	null	null	null	null	ANTIGELO VIOLA G13 MOTUL 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	589735	null	10116	MATERIALE CONSUMO  MOTO RIVENDUTO       	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVTM            	null	null	null	null	null	null	VALVOLA TBL MOTO 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	606778	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7PRRICV            	null	null	null	null	null	null	PRESA ERICONSEGNA VETTURA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	606778	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7PRRICV            	null	null	null	null	null	null	PRESA ERICONSEGNA VETTURA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	606778	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7PRRICV            	null	null	null	null	null	null	PRESA ERICONSEGNA VETTURA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	610819	null	105	MECCANICA VETTURA - 4X4 - TL            	10248	MAGNETI MARELLI                         	1,53072E+11	null	null	null	null	null	null	FILTRO CARBURANTE 153071760754 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	610876	null	10119	OLIO MECCANICA                          	10009	MECCANICA LEGGERA                       	@7OLIO0W308100      	null	null	null	null	null	null	OLIO MOTUL 8100 X-CLEAN + EFE 0W30 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518528	null	10037	MANODOPERA OFFICINA                     	324	MANODOPERA                              	@7MOZZI             	null	null	null	null	null	null	RIGENERAZIONE MOZZI E BULLONI 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518528	null	10037	MANODOPERA OFFICINA                     	324	MANODOPERA                              	@7MOZZI             	null	null	null	null	null	null	RIGENERAZIONE MOZZI E BULLONI 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518528	null	10037	MANODOPERA OFFICINA                     	324	MANODOPERA                              	@7MOZZI             	null	null	null	null	null	null	RIGENERAZIONE MOZZI E BULLONI 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
215	50	18	TURANZA 6	597088	26012	4	VETTURA                                 	11	BRIDGESTONE                             	2155018-BRI-26012   	92	W                                       	null	TURANZA 6	3,28634E+12	2155018	215/50R18 92W BRIDGESTONE TURANZA 6	ESTIVO	E	G	69	B	B	A	4	8	2	28	61	17600	A 
null	null	null	null	562632	null	10119	OLIO MECCANICA                          	10009	MECCANICA LEGGERA                       	@7OLIO5W40507       	null	null	null	null	null	null	OLIO MOTUL 8100 X-CLEAN GEN2 5W40 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	575502	null	105	MECCANICA VETTURA - 4X4 - TL            	10217	KNECHT                                  	OX787D              	null	null	null	null	null	null	FILTRO OLIO OX787D 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	575502	null	105	MECCANICA VETTURA - 4X4 - TL            	10217	KNECHT                                  	OX787D              	null	null	null	null	null	null	FILTRO OLIO OX787D 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	581388	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7EQUIVETNUOVO      	null	null	null	null	null	null	EQUILIBRATURA PNEUMATICO VETTURA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	598267	null	10119	OLIO MECCANICA                          	10009	MECCANICA LEGGERA                       	@7OLIO0W30GRVW      	null	null	null	null	null	null	OLIO MOTUL 504.00 507.00 0W30 GRUPPO VW 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	598267	null	10119	OLIO MECCANICA                          	10009	MECCANICA LEGGERA                       	@7OLIO0W30GRVW      	null	null	null	null	null	null	OLIO MOTUL 504.00 507.00 0W30 GRUPPO VW 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	553167	null	105	MECCANICA VETTURA - 4X4 - TL            	10009	MECCANICA LEGGERA                       	@7LAVAVETRI         	null	null	null	null	null	null	DETERGENTE LAVAVETRI (OMAGGIO TERGI) 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	589959	null	105	MECCANICA VETTURA - 4X4 - TL            	10210	VW                                      	V5G6959752CFAIF     	null	null	null	null	null	null	CHIAVE V5G6959752 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
215	50	18	WinterContact TS 850 P	551077	354796	7	Fuoristrada, Suv e 4x4                  	7	CONTINENTAL                             	2155018-CON-0354796 	92	V                                       	null	WinterContact TS 850 P	4,01924E+12	2155018	215/50R18 92V CONTINENTAL WinterContact TS 850 P	INVERNALE	I	S	72	B	C	C	4	7	2	28	61	12982	A 
215	50	18	TURANZA T001	560226	8559	4	VETTURA                                 	11	BRIDGESTONE                             	2155018-BRI-8559    	92	W                                       	null	TURANZA T001	3,28634E+12	2155018	215/50R18 92W AO BRIDGESTONE TURANZA T001	ESTIVO	E	S	71	B	C	A	4	205	2	28	61	6968	A 
235	60	18	PILOT SPORT 4 SUV	570229	409427	7	Fuoristrada, Suv e 4x4                  	1	MICHELIN                                	2356018-MIC-409427  	107	V                                       	XL   	PILOT SPORT 4 SUV	3,5287E+12	2356018	235/60R18 107V XL VOL MICHELIN PILOT SPORT 4 SUV	ESTIVO	E	G	70	B	A	A	38	7	37	26	61	16687	A 
285	40	22	SCORPION WINTER	584502	3992900	7	Fuoristrada, Suv e 4x4                  	2	PIRELLI                                 	2854022-PIR-3992900 	110	V                                       	XL   	SCORPION WINTER	8,01923E+12	2854022	285/40R22 110V XL (MO1) PIRELLI SCORPION WINTER	INVERNALE	I	G	67	A	C	B	68	7	102	30	27	11172	A 
325	35	22	SCORPION WINTER	584503	3993000	7	Fuoristrada, Suv e 4x4                  	2	PIRELLI                                 	3253522-PIR-3993000 	114	V                                       	XL   	SCORPION WINTER	8,01923E+12	3253522	325/35R22 114V XL (MO1) PIRELLI SCORPION WINTER	INVERNALE	I	G	68	A	C	B	138	7	131	31	27	11172	A 
NULL	NULL	NULL	NULL	571588	NULL	116	RIGENERAZIONI                           	10010	RIGENERAZIONE                           	@7RIGC22            	NULL	NULL	NULL	NULL	NULL	NULL	"RIGENERAZIONE COMPLETA 22"" "	4 STAGIONI	Q	G	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
325	35	22	P-ZERO (PZ4)	597291	4203000	7	Fuoristrada, Suv e 4x4                  	2	PIRELLI                                 	3253522-PIR-4203000 	114	Y                                       	XL   	P-ZERO (PZ4)	8,01923E+12	3253522	325/35R22 114Y XL (A8B) (e) PIRELLI P-ZERO (PZ4)	ESTIVO	E	G	73	B	D	A	138	9	131	31	27	17319	A 
325	35	22	P-ZERO (PZ4)	597291	4203000	7	Fuoristrada, Suv e 4x4                  	2	PIRELLI                                 	3253522-PIR-4203000 	114	Y                                       	XL   	P-ZERO (PZ4)	8,01923E+12	3253522	325/35R22 114Y XL (A8B) (e) PIRELLI P-ZERO (PZ4)	ESTIVO	E	G	73	B	D	A	138	9	131	31	27	17319	A 
325	35	22	P-ZERO (PZ4)	597316	4251200	7	Fuoristrada, Suv e 4x4                  	2	PIRELLI                                 	3253522-PIR-4251200 	114	Y                                       	XL   	P-ZERO (PZ4)	8,01923E+12	3253522	325/35R22 114Y XL PIRELLI P-ZERO (PZ4)	ESTIVO	E	G	73	B	C	A	138	9	131	31	27	17319	A 
285	40	22	PZERO	579588	3109700	7	Fuoristrada, Suv e 4x4                  	2	PIRELLI                                 	2854022-PIR-3109700 	110	Y                                       	XL   	PZERO	8,01923E+12	2854022	285/40R22 110Y XL (e) (A8A) PIRELLI PZERO	ESTIVO	E	G	73	B	D	B	68	9	102	30	27	17	A 
285	40	22	P-ZERO (PZ4)	593852	4218500	7	Fuoristrada, Suv e 4x4                  	2	PIRELLI                                 	2854022-PIR-4218500 	110	Y                                       	XL   	P-ZERO (PZ4)	8,01923E+12	2854022	285/40R22 110Y XL PIRELLI P-ZERO (PZ4)	ESTIVO	E	G	74	B	A	A	68	9	102	30	27	17319	A 
